state,county,fips,adult_pop,observed_distress,loneliness_rate,access_to_exercise,social_associations,air_pollution,uninsured,unemployment_rate,providers_per_100k,log_median_hh_income,rucc_category
NC,Bertie,37015,"14,112",17.5,35.3,35.6306457,24.583155195,7.0,13.596302669999998,5.9003193099999995,57.12654,10.628133400155445,rural
NC,Vance,37181,"32,113",18.1,35.3,66.17736859,14.53553379,8.1,18.0171051,7.910786890000001,239.42159999999998,10.726719568158678,mid
NC,New Hanover,37129,"197,058",16.3,32.1,95.08909978999999,9.2556199364,3.8,14.96761258,4.23522317,528.34275,11.100616994380056,metro
NC,Martin,37117,"17,125",17.5,34.6,55.349280560000004,15.33050771,7.0,14.8120111,5.53556922,105.72768,10.675006815282412,mid
NC,Edgecombe,37065,"37,653",18.2,34.8,67.87116564,11.607546873,7.7,14.29974536,8.534057259999999,70.30749,10.625149300994275,metro
NC,Hyde,37095,"3,922",17.2,32.7,52.47330573,8.2593433822,5.7,20.26633375,6.5082059999999995,22.18279,10.711747540196578,rural
NC,Rowan,37159,"118,284",17.5,32.3,69.87846809,13.825046493,9.5,15.41150302,5.036620070000001,248.3969,10.940951123740335,metro
NC,Dare,37055,"31,485",14.2,28.5,70.76527157,14.648307455,6.1,16.04496444,5.9548673,192.98895,11.137242435146531,mid
NC,Wilkes,37193,"52,999",17.5,33.2,65.33371735,13.961759476,7.9,17.75516048,4.7084376400000005,235.54083,10.776682874304697,mid
NC,Moore,37125,"83,707",14.7,29.5,78.22355029,11.127022215,8.4,14.81137302,4.57159931,251.06312999999997,11.147253021804348,metro
NC,Cleveland,37045,"78,793",17.8,33.4,65.03280781000001,18.074418135,8.9,16.75597984,5.31814463,150.45985,10.799759233696244,mid
NC,Haywood,37087,"52,105",15.9,30.7,82.79727488,14.609667789,6.7,14.97261621,4.24066189,388.94936,10.855473559734735,mid
NC,Davie,37059,"35,409",15.8,31.4,66.83133545999999,10.626992561,9.2,15.950299500000002,4.27719821,75.80456000000001,11.115785605608053,metro
NC,Randolph,37151,"114,881",17.9,32.5,53.08765286,10.514883402,9.0,18.38615498,4.67696563,111.59177,10.952349215939682,metro
NC,Cabarrus,37025,"180,188",16.2,32.3,60.679173090000006,9.9783726674,9.5,14.02575401,4.38561293,295.74797,11.279074796512331,metro
NC,Washington,37187,"8,617",17.7,34.3,63.182768339999996,20.026121027,6.4,15.76032226,6.92721741,119.35365,10.659186907753037,rural
NC,Carteret,37031,"58,070",14.7,29.1,83.55789971,12.651312574,5.8,13.707628750000001,4.11570195,175.07769,11.053204784521506,mid
NC,Duplin,37061,"37,683",17.3,33.6,30.49984604,9.1846106746,7.1,26.23465337,4.38115649,86.57116,10.717723410205611,rural
NC,Alamance,37001,"139,859",17.2,33.4,81.63521279,10.038168384,8.3,17.8425858,4.7982323000000004,169.08504,10.982696134328725,metro
NC,Greene,37079,"16,688",18.7,35.6,25.299496360000003,7.6452599388,7.3,24.426900030000002,4.10081162,48.97879,10.66625407497613,rural
NC,Perquimans,37143,"10,937",15.9,31.4,22.21453287,9.5119631229,6.5,13.850027979999998,5.3067993399999995,60.92917,10.89228497519703,rural
NC,Lincoln,37109,"76,148",16.2,31.3,62.306185920000004,12.145703032,9.3,14.772620100000001,4.07092166,78.06401,11.202575063017205,metro
NC,Cherokee,37039,"25,195",15.7,29.8,98.54382429,10.318852544,7.4,17.543512659999998,4.96601208,140.56982,10.696728905881372,rural
NC,Swain,37173,"10,906",19.2,34.0,97.35071191,8.4632202553,7.2,28.68041483,4.5075369499999995,325.4103,10.77557558173055,rural
NC,Pamlico,37137,"10,683",15.0,30.5,57.60834148,11.797090051,6.0,16.45326504,4.28625378,97.21321999999999,10.891764006182903,rural
NC,Ashe,37009,"22,627",16.2,30.6,57.47450803,8.8345726275,6.6,16.254721359999998,3.97177739,164.72614000000002,10.726587856343938,rural
NC,Jones,37103,"7,647",17.6,32.5,48.40819887,7.5675675676,6.4,19.804447850000003,4.23586041,54.024849999999994,10.770924118192763,rural
NC,Stanly,37167,"51,434",17.6,32.4,76.72468961999999,16.60367811,9.0,15.50740844,4.36363636,222.30981000000003,10.95893134580286,mid
NC,Columbus,37047,"39,774",18.3,34.4,39.26476108,8.2185776382,6.9,19.7214904,6.27678571,165.69512,10.626339155802404,mid
NC,Bladen,37017,"23,400",17.4,33.7,46.53448625,13.369390173,7.0,18.849469499999998,5.8074949,98.22184999999999,10.654856470296197,rural
NC,Hoke,37093,"39,888",19.0,35.6,62.24031335,5.1943399606,7.9,18.97816697,6.44901249,180.74331,10.914142562445095,metro
NC,Davidson,37057,"137,346",17.5,31.5,59.1067306,10.045262772,8.9,17.83231494,4.53654651,117.20787,10.886932132596673,metro
NC,Richmond,37153,"32,370",19.1,34.4,39.85237275,15.113236488,8.2,18.802144209999998,7.317823730000001,231.71988000000002,10.64917974375984,mid
NC,Mecklenburg,37119,"901,633",15.7,32.6,89.5756274,9.1944248834,9.5,14.933186749999999,4.89426304,365.50723999999997,11.227081701792088,metro
NC,Chatham,37037,"66,141",13.8,27.8,71.11620895,10.429318266,8.7,14.03999036,3.56269743,159.20091,11.323748463219292,metro
NC,Henderson,37089,"97,324",14.9,28.9,83.22769842,10.468994048,7.2,18.00468137,4.06885759,245.65818000000002,11.008479448168277,metro
NC,Wake,37183,"919,538",14.7,31.4,89.56676494999999,9.7768113817,10.2,11.397252669999999,3.97628957,368.10861,11.424727930228103,metro
NC,Montgomery,37123,"20,705",17.1,33.2,83.07250203999999,8.8112196196,7.9,19.66541482,4.67586708,155.05078,10.876101905463226,rural
NC,Rockingham,37157,"73,816",17.8,33.7,70.92408008999999,15.227036205,8.2,16.146010829999998,5.53209131,144.63217,10.755090418788047,metro
NC,Person,37145,"31,541",17.3,32.6,44.31286288,13.775829681,8.0,14.27525937,4.95441719,99.67541999999999,10.920293078500146,metro
NC,Johnston,37101,"182,582",16.9,32.1,68.61189171999999,8.1851224994,8.1,15.37990149,4.19744597,101.98495,11.154663548170214,metro
NC,Hertford,37091,"15,694",18.2,35.5,52.01837416,13.848018002,7.3,14.811220889999998,6.52735384,234.98449000000002,10.608093826184968,rural
NC,Scotland,37165,"26,528",19.7,36.8,63.603909400000006,11.548344256,7.8,18.34706049,9.507930790000001,201.59523000000002,10.693307620356334,mid
NC,Guilford,37081,"430,053",16.8,33.8,90.87713075,11.007897936,6.8,14.73290429,5.61111547,320.97491,11.017234728788507,metro
