state,county,fips,adult_pop,observed_distress,loneliness_rate,access_to_exercise,social_associations_per_10k,air_pollution,uninsured,unemployment_rate,providers_per_100k,log_median_hh_income,rucc_category,mid,rural
NC,Wayne,37191,"90,368",17.9,32.9,55.80186307,13.632660305,7.8,18.74713959,5.024677410000001,243.07784,10.818877879167118,metro,False,False
NC,Beaufort,37013,"35,939",16.5,32.5,62.59965959,11.259108194,6.6,16.48990096,4.80176664,191.14869,10.82599889622334,mid,True,False
NC,Iredell,37097,"155,704",15.9,31.2,71.46973908999999,11.035150993,9.5,15.26541436,4.610079460000001,227.64211,11.152443282688544,metro,False,False
NC,Polk,37149,"17,006",14.5,28.8,61.18067053,16.167379933,7.8,16.25022965,4.67382877,188.23769,10.969301129452852,rural,False,True
NC,Madison,37115,"18,349",16.3,30.7,90.01557118,8.2796688132,6.6,14.79813283,4.271017349999999,199.9814,10.856090927068603,metro,False,False
NC,Burke,37023,"72,201",17.3,32.8,59.79102432,13.714083479,8.2,18.15747794,4.54105542,312.74612,10.892247772124051,metro,False,False
NC,Watauga,37189,"48,121",19.0,33.9,86.49927893,13.28821247,6.7,14.87417528,3.65909491,483.09179000000006,10.918410213817882,mid,True,False
NC,Wilson,37195,"60,928",18.1,33.3,68.13820065,9.7585967138,7.9,18.69780423,6.73266734,206.71439,10.795014169263665,mid,True,False
NC,Granville,37077,"49,581",17.0,33.1,47.84725866,11.73825348,8.4,15.6182466,3.98429302,369.43826,11.046355932458775,mid,True,False
NC,Durham,37063,"271,458",15.3,32.3,89.74272934000001,10.173965647,8.1,15.91490755,4.0983091,715.9809399999999,11.17655722294139,metro,False,False
NC,Forsyth,37067,"304,926",16.4,33.0,78.02451711,10.707502807,9.5,15.18623348,4.90322159,354.06448,11.005892639442934,metro,False,False
NC,Buncombe,37021,"227,608",15.3,29.9,74.83113876,12.448904458,6.2,17.28696947,4.19106249,753.4968,11.064103903312146,metro,False,False
NC,Lee,37105,"51,479",17.5,34.1,74.80129572999999,14.433948647,8.4,19.50689511,5.3945186,191.77399,10.945159050741427,mid,True,False
NC,Cumberland,37051,"252,626",18.4,36.9,78.14643531,8.9486389744,7.4,15.16905903,6.87921472,416.38351,10.867863438213538,metro,False,False
